index,category,test_no,command_kor,connected_devices,options,gt1,gt2,gt3,command_eng
16,1,59,10을 3으로 나눈 나머지를 구해.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mod(10,3)""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mod(10, 3)""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Calculator).calculator_mod(10,3)'}",Find the remainder of 10 divided by 3.
66,6,308,10초마다 관개기를 켰다가 5초 뒤에 꺼 줘. 관개기를 켤 때 끌 때 모두 확인해서 일조량이 500룩스 이상이면 관개기를 끄고 반복을 종료해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 10000, ""code"": ""
lux = (#LightSensor).lightLevel_light\n
if (lux >= 500.0) {\n
  (#Irrigator).switch_off()\n
  break\n}\n
(#Irrigator).switch_on()\n
(#Clock).clock_delay(5000)\n
lux = (#LightSensor).lightLevel_light\n
if (lux >= 500.0) {\n  
(#Irrigator).switch_off()\n
  break\n
}\n
(#Irrigator).switch_off()""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 10000, ""code"": ""
triggered := false
if (triggered == false) {
  (#Irrigator).switch_on()
  triggered = true
} else {
  (#Clock).clock_delay(5000)
  if ((#LightSensor).lightLevel_light >= 500) {
    (#Irrigator).switch_off()
    break
  } else {
    (#Irrigator).switch_off()
    triggered = false
  }
}""}","{'name': 'Scenario1', 'cron': '', 'period': 10000, 'code': '
if ((#LightSensor).lightLevel_light >= 500) {\n
    (#Irrigator).switch_off()\n
    break\n
}\n
(#Irrigator).switch_on()\n
(#Clock).clock_delay(5000)\n
if ((#LightSensor).lightLevel_light >= 500) {\n
    (#Irrigator).switch_off()\n
    break\n
}\n
(#Irrigator).switch_off()'}","Every 10 seconds, turn on the irrigation system and turn it off 5 seconds later. Each time the irrigation system is turned on or off, check the light level, and if the light intensity is 500 lux or higher, turn off the irrigation system and stop repeating."
95,6,338,10초마다 블라인드를 완전히 닫아 줘. 그 때마다 확인해서 TV가 켜져 있으면 즉시 반복을 종료해.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 10000, ""code"": ""
(#Blind).blind_close()\n
if ((#Television).switch_switch == \""on\"") {\n
  break\n
}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 10000, ""code"": ""
 if ((#Television).switch_switch == \""on\"") {
 break
 } else {
 (#Blind).blind_close()
 }
 ""}","{'name': 'Scenario', 'cron': '', 'period': 10000, 'code': ""if ((#Television).switch_switch == 'on') {\n    break\n}\n(#Blind).blind_close()""}","Every 10 seconds, close the blinds completely. Check each time and end the loop immediately if the TV is on."
67,7,309,10초마다 알람과 사이렌을 껐다 켰다 반복해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 10000, ""code"": ""
alarm_state := true\n
if (alarm_state == true) {\n
  (#Alarm).alarm_off()\n
  (#Siren).switch_off()\n
  alarm_state = false\n
} else {\n
  (#Alarm).alarm_siren()\n
  (#Siren).switch_on()\n
  alarm_state = true\n
}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 10000, ""code"": ""
alarm_state := true\n
if (alarm_state == true) {\n
  (#Alarm).alarm_off()\n
  (#Siren).switch_off()\n
  alarm_state = false\n
} else {\n
  (#Alarm).alarm_siren()\n
  (#Siren).switch_on()\n
  alarm_state = true\n
}""}","{'name': 'Scenario1', 'cron': '', 'period': 10000, 'code': 'alarm_state := true\nif (alarm_state == true) {\n    (#Alarm).alarm_off()\n    (#Siren).switch_off()\n    alarm_state = false\n} else {\n    (#Alarm).alarm_siren()\n    (#Siren).switch_on()\n    alarm_state = true\n}'}",Turn the alarm and siren off and on every 10 seconds.
22,4,86,1시간 20분 30초 뒤에 알람의 사이렌을 울려줘,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()'}","Sound the alarm's siren in 1 hour, 20 minutes, 30 seconds"
147,3,436,"1월 1일에, 실시간으로 확인하여 조명이 꺼지면 3초 대기 후 펌프를 끄고, 5초 후 블라인드를 닫으며, 추가로 7초 후 조명을 다시 켠 다음 알람의 사이렌을 울려 줘.",,,"{""name"": ""Scenario1"", ""cron"": ""0 0 1 1 *"", ""period"": 100, ""code"": ""
if (((#Clock).clock_month == 1) and ((#Clock).clock_day == 1)) {\n
  if((#Light).switch_switch == \""off\"")\n
  (#Clock).clock_delay(3000)\n
  (#Pump).switch_off()\n
  (#Clock).clock_delay(5000)\n
  (#Blind).blind_close()\n
  (#Clock).clock_delay(7000)\n
  (#Light).switch_on()\n
  (#Alarm).alarm_siren()\n
  break
} else{
  break
}""}","{""name"": ""Scenario1"", ""cron"": ""0 0 1 1 *"", ""period"": 100, ""code"": ""
triggered := false
if (triggered == false) {
  if ((#Light).switch_switch == ""off"") {
    (#Clock).clock_delay(3000)
    (#Pump).switch_off()
    (#Clock).clock_delay(5000)
    (#Blind).blind_close()
    (#Clock).clock_delay(7000)
    (#Light).switch_on()
    (#Alarm).alarm_siren()
    triggered = true
  }
} else {
  triggered = false
}""}","{'name': 'Scenario', 'cron': '0 0 1 1 *', 'period': 100, 'code': ""
if (((#Clock).clock_month != 1) or ((#Clock).clock_day != 1)) {\n
    break\n
}\n
if ((#Light).switch_switch == 'off') {\n
    (#Clock).clock_delay(3000)\n
    (#Pump).switch_off()\n
    (#Clock).clock_delay(5000)\n
    (#Blind).blind_close()\n
    (#Clock).clock_delay(7000)\n
    (#Light).switch_on()\n
    (#Alarm).alarm_siren()\n
}""}","On January 1, check in real-time and when the lights turns off, wait 3 seconds, turn off the pump, close the blinds after 5 seconds, turn the lights back on after an additional 7 seconds, and sound the alarm's siren."
102,7,345,1초마다 상태를 확인해서 온도가 35도를 초과할 때마다 환풍기를 켜 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""triggered := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n  if (triggered == false) {\n    (#Fan).switch_on()\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""
 triggered := false
 if ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {
 if (triggered == false) {
 (#Fan).switch_on()
 triggered = true
 }
 } else {
 triggered = false
 }
 ""}","{'name': 'Scenario1', 'cron': '', 'period': 1000, 'code': 'triggered := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35) {\n    if (triggered == false) {\n        (#Fan).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}'}",Check the status every 1 second and turn on the fan whenever the temperature exceeds 35 degrees.
65,6,307,1초마다 선풍기의 전원을 켜고 끄는 토글 동작을 반복해 줘. 매번 동작 직전에 습도를 확인해서 80% 이상이면 반복을 즉시 중단해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""
humidity = (#AirQualityDetector).relativeHumidityMeasurement_humidity\n
if (humidity >= 80.0) {\n
  break\n}\n
(#Fan).switch_toggle()""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""stopped := false
humidity = (#HumiditySensor).relativeHumidityMeasurement_humidity
if (humidity >= 80.0) {
stopped = true
}
if (stopped == false) {
(#Fan).switch_toggle()
} else {
break
}""}","{'name': 'Scenario1', 'cron': '', 'period': 1000, 'code': 'if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) {\n    break\n}\n(#Fan).switch_toggle()'}",Repeat the toggle action of powering the fan on and off every second. Check the humidity just before each action and stop the loop immediately if it's above 80%.
116,7,374,1초마다 확인하여 관개 장치가 꺼졌다 켜진 횟수가 4번을 초과하고 펌프가 2번 이상 작동했으면 블라인드를 닫고 커튼을 내려 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""prev_irrigator_state := (#Irrigator).switch_switch\nirrigator_off_to_on_count := 0\nprev_pump_state := (#Pump).switch_switch\npump_on_count := 0\nirrigator_state = (#Irrigator).switch_switch\npump_state = (#Pump).switch_switch\nif ((prev_irrigator_state == \""off\"") and (irrigator_state == \""on\"")) {\n  irrigator_off_to_on_count = irrigator_off_to_on_count + 1\n}\nprev_irrigator_state = irrigator_state\nif ((pump_state == \""on\"") and (prev_pump_state != \""on\"")) {\n  pump_on_count = pump_on_count + 1\n}\nprev_pump_state = pump_state\nif ((irrigator_off_to_on_count > 4) and (pump_on_count >= 2)) {\n  (#Blind).blind_close()\n  (#Curtain).curtain_close()\n  break\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""
 irrigatorOnCount := 0
 pumpOnCount := 0
 if ((#Irrigator).switch_switch == \""off\"") {
 wait until ((#Irrigator).switch_switch == \""on\"")
 irrigatorOnCount = irrigatorOnCount + 1
 }
 if ((#Pump).switch_switch == \""on\"") {
 pumpOnCount = pumpOnCount + 1
 }
 if ((irrigatorOnCount > 4) and (pumpOnCount >= 2)) {
 (#Blind).blind_close()
 (#Curtain).curtain_close()
 }
 ""}","{'name': 'Scenario', 'cron': '', 'period': 1000, 'code': ""irrigator_count := 0\nprev_irrigator_state := (#Irrigator).switch_switch\nirrigator_state = (#Irrigator).switch_switch\npump_count := 0\nprev_pump_state := (#Pump).switch_switch\npump_state = (#Pump).switch_switch\nif ((prev_irrigator_state == 'off') and (irrigator_state == 'on')) {\n    irrigator_count = irrigator_count + 1\n}\nif ((prev_pump_state == 'off') and (pump_state == 'on')) {\n    pump_count = pump_count + 1\n}\nprev_irrigator_state = irrigator_state\nprev_pump_state = pump_state\nif ((irrigator_count > 4) and (pump_count >= 2)) {\n    (#Blind).blind_close()\n    (#Curtain).curtain_close()\n    break\n}""}",Check every second and close the blinds and lower the curtains if the number of times the irrigation has turned off and on exceeds 4 and the pump has run more than 2 times.
135,6,408,1초마다 확인하여 온도가 30도 미만이면서 25도 이상일 때마다 에어컨을 켜 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""(#Light).switch_toggle()\nlight_state = (#Light).switch_switch\nif (light_state == \""off\"") {\n  window_state = (#Window).windowControl_window\n  if (window_state == \""open\"") {\n      break\n  }\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""
 if (((#TemperatureSensor).temperatureMeasurement_temperature < 30.0) and ((#TemperatureSensor).temperatureMeasurement_temperature >= 25.0)) {
 (#AirConditioner).switch_on()
 }
 ""}","{'name': 'Scenario', 'cron': '', 'period': 1000, 'code': 'triggered := false\nif (((#TemperatureSensor).temperatureMeasurement_temperature < 30) and ((#TemperatureSensor).temperatureMeasurement_temperature >= 25)) {\n    if (triggered == false) {\n        (#AirConditioner).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}'}",Check every second to turn on the air conditioner whenever the temperature is below 30 degrees but above 25 degrees.
